dma,state,geocode,year,cancer,cardiovascular,depression,diabetes,diarrhea,obesity,rehab,stroke,vaccine
Abilene-Sweetwater TX,TX,662,2014,70,53,76,69,77,39,91,59,75
Albany GA,GA,525,2014,76,71,64,77,64,64,62,64,52
Albany-Schenectady-Troy NY,NY,532,2014,76,31,67,71,68,48,57,59,74
Albuquerque-Santa Fe NM,NM,790,2014,68,33,64,81,65,48,52,57,64
Alexandria LA,LA,644,2014,68,48,60,60,81,48,56,55,44
Alpena MI,MI,583,2014,64,0,87,86,76,0,36,59,68
Amarillo TX,TX,634,2014,67,34,67,74,77,39,62,54,58
Anchorage AK,AK,743,2014,62,32,55,68,60,41,33,68,74
Atlanta GA,GA,524,2014,72,41,51,64,63,35,56,53,51
Augusta GA,GA,520,2014,69,28,54,59,72,24,70,62,41
Austin TX,TX,635,2014,66,30,51,67,69,35,64,52,63
Bakersfield CA,CA,800,2014,67,37,60,73,71,45,36,53,56
Baltimore MD,MD,512,2014,80,52,62,79,63,59,66,58,78
Bangor ME,ME,537,2014,78,36,79,70,68,47,67,80,70
Baton Rouge LA,LA,716,2014,71,64,59,70,72,47,74,61,56
Beaumont-Port Arthur TX,TX,692,2014,70,65,61,69,66,38,52,56,63
Bend OR,OR,821,2014,72,37,65,71,59,37,52,66,80
"Billings, MT",MT,756,2014,68,21,67,76,75,44,60,73,72
Biloxi-Gulfport MS,MS,746,2014,66,45,64,75,75,41,64,71,47
Binghamton NY,NY,502,2014,80,36,74,72,75,65,50,63,66
Birmingham AL,AL,630,2014,78,70,67,77,73,52,79,64,59
Bluefield-Beckley-Oak Hill WV,WV,559,2014,86,38,71,78,100,41,51,72,73
Boise ID,ID,757,2014,62,37,64,73,66,49,70,59,60
Boston MA-Manchester NH,NH,506,2014,77,40,61,67,62,43,88,54,65
Bowling Green KY,KY,736,2014,75,29,54,64,75,26,70,61,49
Buffalo NY,NY,514,2014,84,36,65,71,66,47,64,60,64
Burlington VT-Plattsburgh NY,NY,523,2014,72,37,68,65,61,55,70,65,70
Butte-Bozeman MT,MT,754,2014,59,19,64,66,71,59,60,53,68
Casper-Riverton WY,WY,767,2014,62,36,64,81,77,38,55,78,52
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,IA,637,2014,76,51,72,78,68,58,56,68,66
Champaign & Springfield-Decatur IL,IL,648,2014,73,52,67,75,66,68,50,64,66
Charleston SC,SC,519,2014,78,41,58,69,68,46,65,76,64
Charleston-Huntington WV,WV,564,2014,84,40,76,76,86,42,64,75,67
Charlotte NC,NC,517,2014,69,33,54,65,65,39,56,53,51
Charlottesville VA,VA,584,2014,80,74,71,76,67,58,68,75,69
Chattanooga TN,TN,575,2014,78,38,61,70,75,36,57,67,55
Cheyenne WY-Scottsbluff NE,NE,759,2014,69,14,63,73,70,42,50,72,57
Chicago IL,IL,602,2014,71,35,56,63,64,38,63,52,52
Chico-Redding CA,CA,868,2014,63,35,59,74,61,46,59,69,67
Cincinnati OH,OH,515,2014,74,39,60,74,67,44,53,54,68
Clarksburg-Weston WV,WV,598,2014,84,33,76,84,79,50,53,63,77
Cleveland-Akron (Canton) OH,OH,510,2014,76,43,64,70,68,49,59,58,60
Colorado Springs-Pueblo CO,CO,752,2014,63,26,62,63,75,41,55,56,57
Columbia SC,SC,546,2014,77,53,66,81,62,76,61,61,66
Columbia-Jefferson City MO,MO,604,2014,80,58,69,88,69,75,64,70,67
Columbus GA,GA,522,2014,74,49,61,74,70,61,66,63,62
Columbus OH,OH,535,2014,78,37,61,72,69,43,55,55,63
Columbus-Tupelo-West Point MS,MS,673,2014,75,48,56,64,73,32,69,60,43
Corpus Christi TX,TX,600,2014,71,39,61,83,78,46,57,50,59
Dallas-Ft. Worth TX,TX,623,2014,63,36,53,64,68,32,64,48,60
Davenport IA-Rock Island-Moline IL,IL,682,2014,69,54,68,76,71,48,52,53,52
Dayton OH,OH,542,2014,75,30,69,74,71,45,52,55,62
Denver CO,CO,751,2014,63,30,55,59,65,39,55,51,53
Des Moines-Ames IA,IA,679,2014,71,33,65,74,65,48,61,53,66
Detroit MI,MI,505,2014,74,42,58,65,65,37,64,59,58
Dothan AL,AL,606,2014,72,42,62,70,80,35,70,72,58
Duluth MN-Superior WI,WI,676,2014,74,50,76,79,66,55,55,79,67
El Paso TX,TX,765,2014,68,62,66,84,65,61,42,42,68
Elmira NY,NY,565,2014,74,29,63,63,71,56,43,50,64
Erie PA,PA,516,2014,83,47,71,76,73,42,70,65,63
Eugene OR,OR,801,2014,65,41,65,71,65,62,49,66,68
Eureka CA,CA,802,2014,58,29,68,65,64,51,50,51,78
Evansville IN,IN,649,2014,74,38,70,80,82,53,74,67,65
Fairbanks AK,AK,745,2014,61,23,61,58,61,33,32,66,47
Fargo-Valley City ND,ND,724,2014,71,50,67,85,66,62,44,71,68
Flint-Saginaw-Bay City MI,MI,513,2014,76,46,71,72,70,51,59,72,56
Florence-Myrtle Beach SC,SC,570,2014,73,33,55,62,69,34,58,63,43
Fresno-Visalia CA,CA,866,2014,66,38,63,69,66,52,53,51,60
Ft. Myers-Naples FL,FL,571,2014,87,38,50,68,67,28,65,66,55
Ft. Smith-Fayetteville-Springdale-Rogers AR,AR,670,2014,65,28,67,71,69,39,69,55,75
Ft. Wayne IN,IN,509,2014,75,39,72,68,72,51,58,63,64
Gainesville FL,FL,592,2014,82,86,66,85,62,81,77,83,100
Glendive MT,MT,798,2014,95,0,0,0,0,0,0,0,0
Grand Junction-Montrose CO,CO,773,2014,71,29,60,65,58,61,53,68,58
Grand Rapids-Kalamazoo-Battle Creek MI,MI,563,2014,71,36,69,69,63,51,56,61,63
Great Falls MT,MT,755,2014,71,42,68,75,90,57,53,74,75
Green Bay-Appleton WI,WI,658,2014,68,31,67,67,63,49,50,58,62
Greensboro-High Point-Winston Salem NC,NC,518,2014,76,52,64,77,63,53,63,63,63
Greenville-New Bern-Washington NC,NC,545,2014,74,42,60,72,75,44,58,71,62
Greenville-Spartanburg SC-Asheville NC-Anderson SC,SC,567,2014,75,39,62,74,70,49,69,64,61
Greenwood-Greenville MS,MS,647,2014,77,52,85,90,62,73,65,55,49
Harlingen-Weslaco-Brownsville-McAllen TX,TX,636,2014,59,44,43,75,41,42,46,32,34
Harrisburg-Lancaster-Lebanon-York PA,PA,566,2014,78,49,69,72,74,47,75,66,67
Harrisonburg VA,VA,569,2014,72,23,71,66,65,55,70,66,64
Hartford & New Haven CT,CT,533,2014,79,46,66,72,58,51,81,58,75
Hattiesburg-Laurel MS,MS,710,2014,80,40,59,75,82,42,79,71,39
Helena MT,MT,766,2014,71,30,71,100,76,58,69,68,90
Honolulu HI,HI,744,2014,64,26,53,66,66,50,49,60,53
Houston TX,TX,618,2014,70,41,51,67,60,38,47,53,59
Huntsville-Decatur (Florence) AL,AL,691,2014,77,43,62,72,75,40,66,62,62
Idaho Falls-Pocatello ID,ID,758,2014,63,33,80,92,65,60,49,68,67
Indianapolis IN,IN,527,2014,77,46,68,80,70,56,63,61,67
Jackson MS,MS,718,2014,78,58,61,92,67,75,91,70,56
Jackson TN,TN,639,2014,87,62,69,83,73,51,70,64,69
Jacksonville FL,FL,561,2014,72,60,55,71,67,46,91,61,56
Johnstown-Altoona PA,PA,574,2014,76,58,71,67,68,67,51,69,68
Jonesboro AR,AR,734,2014,81,46,71,77,74,65,72,60,75
Joplin MO-Pittsburg KS,KS,603,2014,72,40,68,71,73,53,63,60,57
Juneau AK,AK,747,2014,65,0,60,84,62,0,47,87,85
Kansas City MO,MO,616,2014,76,47,61,73,67,46,63,60,61
Knoxville TN,TN,557,2014,76,38,62,71,77,40,64,64,60
La Crosse-Eau Claire WI,WI,702,2014,79,49,65,74,69,60,57,78,72
Lafayette IN,IN,582,2014,69,37,66,70,54,78,35,41,73
Lafayette LA,LA,642,2014,67,71,61,58,74,29,54,69,52
Lake Charles LA,LA,643,2014,69,37,62,66,68,32,67,65,56
Lansing MI,MI,551,2014,73,52,67,70,63,58,75,57,80
Laredo TX,TX,749,2014,63,52,58,80,50,54,37,46,52
Las Vegas NV,NV,839,2014,67,38,53,63,69,33,63,53,51
Lexington KY,KY,541,2014,85,46,70,76,81,66,59,67,62
Lima OH,OH,558,2014,75,47,67,89,68,75,45,60,76
Lincoln & Hastings-Kearney NE,NE,722,2014,68,39,67,71,67,62,53,61,61
Little Rock-Pine Bluff AR,AR,693,2014,76,39,67,75,74,53,87,65,70
Los Angeles CA,CA,803,2014,63,32,54,61,58,40,44,48,49
Louisville KY,KY,529,2014,81,43,62,77,81,44,91,68,63
Lubbock TX,TX,651,2014,65,47,68,65,77,49,68,47,58
Macon GA,GA,503,2014,72,56,60,78,68,54,71,69,53
Madison WI,WI,669,2014,71,30,61,64,68,41,52,59,64
Mankato MN,MN,737,2014,66,39,73,83,66,58,39,57,58
Marquette MI,MI,553,2014,73,39,75,73,62,46,68,72,71
Medford-Klamath Falls OR,OR,813,2014,70,25,65,73,69,43,40,69,77
Memphis TN,TN,640,2014,76,79,57,80,69,52,72,63,56
Meridian MS,MS,711,2014,83,53,76,72,62,63,74,77,32
Miami-Ft. Lauderdale FL,FL,528,2014,66,44,46,61,52,37,59,49,48
Milwaukee WI,WI,617,2014,71,42,65,70,64,43,59,59,61
Minneapolis-St. Paul MN,MN,613,2014,67,41,63,68,62,39,56,57,63
Minot-Bismarck-Dickinson(Williston) ND,ND,687,2014,64,18,63,68,71,34,45,76,65
Missoula MT,MT,762,2014,70,36,64,69,65,45,60,66,77
Mobile AL-Pensacola (Ft. Walton Beach) FL,FL,686,2014,77,44,56,71,75,35,63,67,61
Monroe LA-El Dorado AR,AR,628,2014,72,45,61,82,73,48,71,59,69
Monterey-Salinas CA,CA,828,2014,59,30,60,61,48,49,38,53,68
Montgomery (Selma) AL,AL,698,2014,77,100,62,78,66,47,82,61,52
Nashville TN,TN,659,2014,79,43,59,77,80,41,77,65,66
New Orleans LA,LA,622,2014,69,40,53,63,75,33,62,64,52
New York NY,NY,501,2014,71,33,53,62,56,39,58,45,57
Norfolk-Portsmouth-Newport News VA,VA,544,2014,69,47,61,69,66,49,52,55,57
North Platte NE,NE,740,2014,75,29,67,68,84,0,26,62,49
Odessa-Midland TX,TX,633,2014,61,25,59,72,77,40,46,56,58
Oklahoma City OK,OK,650,2014,74,32,53,65,78,36,65,60,63
Omaha NE,NE,652,2014,76,34,60,70,73,45,70,60,60
Orlando-Daytona Beach-Melbourne FL,FL,534,2014,72,46,49,64,68,33,68,60,49
Ottumwa IA-Kirksville MO,MO,631,2014,75,30,64,68,77,37,50,61,48
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,IL,632,2014,77,55,74,78,85,58,77,69,64
Palm Springs CA,CA,804,2014,72,32,51,59,65,43,46,60,45
Panama City FL,FL,656,2014,65,68,54,59,75,32,61,81,52
Parkersburg WV,WV,597,2014,80,19,76,71,85,35,49,69,72
Peoria-Bloomington IL,IL,675,2014,78,43,67,74,69,53,47,67,69
Philadelphia PA,PA,504,2014,81,39,62,70,66,44,83,57,68
Phoenix AZ,AZ,753,2014,69,47,58,68,68,45,63,57,55
Pittsburgh PA,PA,508,2014,82,40,67,70,71,43,77,70,71
Portland OR,OR,820,2014,41,21,33,47,34,24,29,36,38
Portland-Auburn ME,ME,500,2014,79,44,72,75,61,51,70,70,72
Presque Isle ME,ME,552,2014,91,38,100,89,72,93,89,100,48
Providence RI-New Bedford MA,MA,521,2014,76,48,66,66,65,47,69,53,64
Quincy IL-Hannibal MO-Keokuk IA,IA,717,2014,87,43,78,85,67,79,56,70,69
Raleigh-Durham (Fayetteville) NC,NC,560,2014,77,49,63,74,62,58,56,57,72
Rapid City SD,SD,764,2014,61,28,70,66,76,34,63,64,70
Reno NV,NV,811,2014,67,24,52,66,71,38,47,63,56
Richmond-Petersburg VA,VA,556,2014,78,72,65,83,62,52,61,62,63
Roanoke-Lynchburg VA,VA,573,2014,30,16,21,34,19,17,20,28,24
Rochester MN-Mason City IA-Austin MN,MN,611,2014,100,85,70,73,69,66,44,66,75
Rochester NY,NY,538,2014,82,37,63,71,64,55,47,62,67
Rockford IL,IL,610,2014,78,40,68,78,74,41,54,54,64
Sacramento-Stockton-Modesto CA,CA,862,2014,68,38,60,70,62,46,48,57,66
Salisbury MD,MD,576,2014,80,58,59,78,67,45,73,72,59
Salt Lake City UT,UT,770,2014,60,37,67,69,67,44,65,57,56
San Angelo TX,TX,661,2014,66,39,66,75,99,31,98,54,54
San Antonio TX,TX,641,2014,66,41,51,77,67,39,66,53,57
San Diego CA,CA,825,2014,67,42,55,65,61,45,48,51,60
San Francisco-Oakland-San Jose CA,CA,807,2014,61,32,51,59,53,35,38,49,60
Santa Barbara-Santa Maria-San Luis Obispo CA,CA,855,2014,64,21,63,61,54,44,39,53,65
Savannah GA,GA,507,2014,73,46,60,64,70,51,54,64,62
Seattle-Tacoma WA,WA,819,2014,64,23,56,62,61,34,50,55,63
Sherman TX-Ada OK,OK,657,2014,68,47,66,79,74,53,74,64,65
Shreveport LA,LA,612,2014,71,50,67,71,73,51,59,63,52
Sioux City IA,IA,624,2014,75,55,69,73,70,54,50,55,55
Sioux Falls(Mitchell) SD,SD,725,2014,79,52,69,89,71,59,49,70,85
South Bend-Elkhart IN,IN,588,2014,75,40,67,69,64,47,46,55,66
Spokane WA,WA,881,2014,68,37,67,73,62,54,53,64,66
Springfield MO,MO,619,2014,72,45,69,74,73,48,59,71,68
Springfield-Holyoke MA,MA,543,2014,74,43,75,73,63,63,78,59,70
St. Joseph MO,MO,638,2014,82,64,77,71,91,31,68,65,72
St. Louis MO,MO,609,2014,75,34,59,68,72,39,71,60,58
Syracuse NY,NY,555,2014,82,41,69,71,64,58,49,62,67
Tallahassee FL-Thomasville GA,GA,530,2014,74,55,62,75,59,64,76,65,64
Tampa-St. Petersburg (Sarasota) FL,FL,539,2014,81,51,52,67,68,37,73,61,56
Terre Haute IN,IN,581,2014,74,34,71,74,78,61,53,64,62
Toledo OH,OH,547,2014,76,49,69,76,67,59,74,66,64
Topeka KS,KS,605,2014,69,35,64,63,70,47,52,61,66
Traverse City-Cadillac MI,MI,540,2014,74,31,74,71,67,45,54,74,76
Tri-Cities TN-VA,VA,531,2014,90,61,67,82,84,55,68,68,78
Tucson (Sierra Vista) AZ,AZ,789,2014,71,44,65,82,72,57,46,55,67
Tulsa OK,OK,671,2014,63,38,57,64,62,33,50,58,53
Twin Falls ID,ID,760,2014,63,17,76,64,61,100,42,68,54
Tyler-Longview(Lufkin & Nacogdoches) TX,TX,709,2014,68,73,65,77,79,41,66,68,74
Utica NY,NY,526,2014,81,25,72,66,63,47,61,53,65
Victoria TX,TX,626,2014,68,14,64,76,69,0,100,44,52
Waco-Temple-Bryan TX,TX,625,2014,63,35,53,66,74,36,62,56,53
Washington DC,DC,511,2014,66,30,46,60,52,38,47,43,59
Watertown NY,NY,549,2014,72,25,71,66,70,50,37,55,75
Wausau-Rhinelander WI,WI,705,2014,71,73,65,75,61,52,54,73,68
West Palm Beach-Ft. Pierce FL,FL,548,2014,78,41,51,68,60,34,80,63,52
Wheeling WV-Steubenville OH,OH,554,2014,87,46,77,86,85,37,70,87,64
Wichita Falls TX & Lawton OK,OK,627,2014,66,39,65,71,80,55,75,46,71
Wichita-Hutchinson KS,KS,678,2014,66,28,53,59,66,30,58,51,42
Wilkes Barre-Scranton PA,PA,577,2014,80,32,71,72,78,42,79,63,68
Wilmington NC,NC,550,2014,77,51,60,71,66,53,75,73,66
Yakima-Pasco-Richland-Kennewick WA,WA,810,2014,67,34,63,70,68,57,48,57,60
Youngstown OH,OH,536,2014,82,33,68,69,83,50,64,60,59
Yuma AZ-El Centro CA,CA,771,2014,60,54,70,70,61,51,44,49,46
Zanesville OH,OH,596,2014,80,20,62,57,82,47,72,67,73
